Country,City,AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,SO2,Continent
Australia,Port Macquarie,Good,0,29,0,7,1,Oceania
Portugal,Porto,Good,0,28,2,21,2,Europe
Portugal,Porto,Good,0,28,2,21,2,Europe
South Africa,Potchefstroom,Unhealthy,11,15,15,188,11,Africa
Thailand,Prachin Buri,Moderate,1,30,1,57,7,Asia
Italy,Prato,Good,1,37,3,18,1,Europe
Italy,Priverno,Good,1,40,2,21,1,Europe
España,Puerto Real,Good,1,32,2,32,1,Europe
Italy,Putignano,Good,1,48,2,25,1,Europe
Azerbaijan,Qax,Good,1,32,0,28,2,Asia
China,Qingquan,Unhealthy,4,178,3,132,5,Asia
Portugal,Quarteira,Good,1,38,2,24,2,Europe
United States of America,Quartz Hill,Moderate,2,28,14,72,1,North America
Italy,Ragusa,Moderate,1,28,5,54,3,Europe
United States of America,Rosenberg,Good,1,18,4,34,1,North America
United Kingdom,Rottingdean,Moderate,1,28,5,52,1,Europe
Czechia,Roznov,Moderate,1,39,1,60,1,Europe
Venezuela (Bolivarian Republic of),Rubio,Good,1,10,3,34,0,South America
Bulgaria,Ruse,Good,1,37,1,36,1,Europe
United Kingdom of Great Britain and Northern Ireland,Rushden,Good,1,29,4,50,1,Europe
United States of America,Russellville,Moderate,1,23,4,79,1,North America
United States of America,Russellville,Moderate,1,23,4,79,1,North America
United States of America,Rye,Moderate,2,12,24,70,7,North America
United States of America,Rye,Moderate,2,12,24,70,7,North America
Japan,Sabae,Good,1,43,0,25,2,Asia
Japan,Sagamihara,Good,1,50,3,43,5,Asia
India,Sahaspur,Unhealthy,3,182,1,151,5,Asia
United States of America,Saint Helens,Good,1,25,7,39,1,North America
日本,Sakaiminato,Good,1,44,0,34,3,Asia
United Kingdom of Great Britain and Northern Ireland,Sale,Good,1,30,3,34,2,Europe
United Kingdom of Great Britain and Northern Ireland,Sale,Good,1,30,3,34,2,Europe
United Kingdom of Great Britain and Northern Ireland,Sale,Good,1,30,3,34,2,Europe
Mexico,Salina Cruz,Moderate,1,23,1,60,1,North America
France,Sallaumines,Good,1,25,4,50,2,Europe
Madagascar,Sambava,Good,0,22,0,15,0,Africa
Bhutan,Samdrup Jongkhar,Good,1,27,0,31,2,Asia
Chile,San Bernardo,Unhealthy,15,0,24,240,6,South America
Chile,San Bernardo,Unhealthy,15,0,24,240,6,South America
Chile,San Bernardo,Unhealthy,15,0,24,240,6,South America
Italy,San Giorgio Ionico,Good,1,48,3,39,1,Europe
United States,San Jose,Good,1,17,0,45,2,North America
United States,San Jose,Good,1,17,0,45,2,North America
United States,San Jose,Good,1,17,0,45,2,North America
United States,San Jose,Good,1,17,0,45,2,North America
United States,San Jose,Good,1,17,0,45,2,North America
United States,San Jose,Good,1,17,0,45,2,North America
United States,San Jose,Good,1,17,0,45,2,North America
United States,San Jose,Good,1,17,0,45,2,North America
United States,San Jose,Good,1,17,0,45,2,North America
United States,San Jose,Good,1,17,0,45,2,North America
Costa Rica,San Josecito,Moderate,2,2,14,83,0,North America
Costa Rica,San Josecito,Moderate,2,2,14,83,0,North America
United States of America,San Pablo,Moderate,1,15,17,55,8,North America
United States of America,San Pablo,Moderate,1,15,17,55,8,North America
United States of America,San Pablo,Moderate,1,15,17,55,8,North America
United States of America,San Pablo,Moderate,1,15,17,55,8,North America
United States of America,San Pablo,Moderate,1,15,17,55,8,North America
United States of America,San Pablo,Moderate,1,15,17,55,8,North America
United States of America,San Pablo,Moderate,1,15,17,55,8,North America
United States of America,San Pablo,Moderate,1,15,17,55,8,North America
Costa Rica,San Rafael Arriba,Moderate,2,5,13,79,0,North America
India,Sanquelim,Moderate,0,25,0,84,0,Asia
Italy,Sansepolcro,Good,1,37,2,20,1,Europe
United States of America,Santa Clara,Moderate,2,9,20,66,1,North America
United States of America,Santa Clara,Moderate,2,9,20,66,1,North America
United States of America,Santa Clara,Moderate,2,9,20,66,1,North America
Ecuador,Santo Domingo,Moderate,2,3,7,70,1,South America
Ecuador,Santo Domingo,Moderate,2,3,7,70,1,South America
Ecuador,Santo Domingo,Moderate,2,3,7,70,1,South America
Ecuador,Santo Domingo,Moderate,2,3,7,70,1,South America
Ecuador,Santo Domingo,Moderate,2,3,7,70,1,South America
Ecuador,Santo Domingo,Moderate,2,3,7,70,1,South America
Ecuador,Santo Domingo,Moderate,2,3,7,70,1,South America
Ecuador,Santo Domingo,Moderate,2,3,7,70,1,South America
Colombia,Santo Tomas,Moderate,2,18,7,85,8,South America
Colombia,Santo Tomas,Moderate,2,18,7,85,8,South America
Colombia,Santo Tomas,Moderate,2,18,7,85,8,South America
Colombia,Santo Tomas,Moderate,2,18,7,85,8,South America
Colombia,Santo Tomas,Moderate,2,18,7,85,8,South America
Brazil,Saquarema,Moderate,2,11,7,83,3,South America
Iran (Islamic Republic of),Sarakhs,Moderate,1,45,0,90,0,Asia
France,Saverne,Moderate,1,21,4,65,1,Europe
Italia,Savona,Good,1,37,2,34,1,Europe
Germany,Schifferstadt,Moderate,1,30,3,52,2,Europe
France,Schiltigheim,Moderate,1,23,4,65,2,Europe
Germany,Schmelz,Moderate,1,29,3,52,1,Europe
Germany,Schramberg,Moderate,1,26,3,69,1,Europe
Germany,Schriesheim,Moderate,1,31,3,53,1,Europe
Austria,Schwechat,Moderate,1,37,2,66,1,Europe
United States of America,Sebring,Moderate,1,11,11,55,0,North America
India,Selu,Unhealthy,1,34,0,126,2,Asia
Slovakia,Senica,Moderate,1,39,1,64,1,Europe
Gambia,Serekunda,Unhealthy,1,30,1,158,3,Africa
Italy,Sesto Fiorentino,Good,1,36,3,17,1,Europe
Russian Federation,Sherlovaya Gora,Good,1,32,0,20,1,Europe
Japan,Shimabara,Good,1,47,1,43,36,Asia
India,Shirhatti,Moderate,0,23,0,53,1,Asia
Indonesia,Sibolga,Good,0,14,0,35,0,Asia
Portugal,Sines,Good,1,34,3,31,2,Europe
Thailand,Sing Buri,Good,0,26,0,32,1,Asia
United Kingdom of Great Britain and Northern Ireland,Skegness,Good,0,35,1,22,1,Europe
Russian Federation,Slobodskoy,Good,1,25,2,34,0,Europe
Italy,Rapallo,Good,1,45,2,34,4,Europe
Germany,Riedlingen,Moderate,1,28,3,78,1,Europe
United States of America,Riverton,Moderate,1,13,12,54,1,North America
United States of America,Riverton,Moderate,1,13,12,54,1,North America
United Kingdom of Great Britain and Northern Ireland,Rochdale,Good,1,30,3,28,1,Europe
United States of America,Rocklin,Moderate,2,8,23,70,2,North America
Thailand,Non Sung,Good,1,28,0,50,4,Asia
United States of America,North Massapequa,Moderate,2,16,21,63,1,North America
United States of America,Norwood,Good,1,24,8,34,2,North America
United States of America,Norwood,Good,1,24,8,34,2,North America
United States of America,Novato,Good,1,22,9,40,1,North America
Brazil,Novo Cruzeiro,Good,0,12,0,23,0,South America
Russian Federation,Novorossiysk,Good,1,38,1,46,1,Europe
Mexico,Nueva Rosita,Moderate,1,23,1,54,1,North America
Russian Federation,Nyagan,Good,1,32,0,15,0,Europe
United States of America,Oakton,Moderate,1,25,12,51,3,North America
Germany,Oberasbach,Good,1,34,2,47,1,Europe
Netherlands,Oldenzaal,Good,0,33,1,35,3,Europe
Russian Federation,Soltsy,Moderate,1,35,0,60,0,Europe
El Salvador,Sonsonate,Moderate,2,22,9,88,2,North America
Hungary,Sopron,Moderate,1,34,2,71,1,Europe
United States of America,South Pasadena,Unhealthy,4,14,38,122,13,North America
Germany,Spenge,Good,0,34,1,38,2,Europe
United States of America,Springdale,Moderate,1,24,4,86,1,North America
United States of America,Springdale,Moderate,1,24,4,86,1,North America
